frame_id,device_timestamp_us,sdk_system_timestamp_us,host_receive_us,bytes,source_gap,soi,sender_accepts,trimmed_bytes,first_eoi_end,last_eoi_end
136,61543164364,1789006409572885,1789006409574342,74076,0,1,1,42195,42195,42195
137,61543197672,1789006409606943,1789006409608400,74076,0,1,1,42154,42154,42154
138,61543230981,1789006409639446,1789006409641029,74076,0,1,1,42325,42325,42325
139,61543264289,1789006409672812,1789006409674270,74076,0,1,1,42302,42302,42302
140,61543297598,1789006409706767,1789006409708410,74076,0,1,1,42193,42193,42193
141,61543330907,1789006409739446,1789006409740782,74076,0,1,1,42310,42310,42310
142,61543364215,1789006409772552,1789006409774187,74076,0,1,1,42248,42248,42248
143,61543397524,1789006409806084,1789006409807659,74076,0,1,1,43054,43054,43054
144,61543430832,1789006409839417,1789006409840681,74076,0,1,1,43031,43031,43031
145,61543464141,1789006409872609,1789006409874161,74076,0,1,1,42295,42295,42295
146,61543497450,1789006409906576,1789006409908164,74076,0,1,1,42842,42842,42842
147,61543530758,1789006409939375,1789006409940887,74076,0,1,1,42299,42299,42299
148,61543564067,1789006409972545,1789006409974030,74076,0,1,1,42540,42540,42540
149,61543597375,1789006410006277,1789006410008458,74076,0,1,1,42830,42830,42830
150,61543630684,1789006410039216,1789006410040732,74076,0,1,1,42922,42922,42922
151,61543663993,1789006410072400,1789006410074165,74076,0,1,1,42934,42934,42934
152,61543697301,1789006410106442,1789006410108398,74076,0,1,1,42243,42243,42243
153,61543730610,1789006410139179,1789006410140606,74076,0,1,1,42314,42314,42314
154,61543763918,1789006410172379,1789006410174021,74076,0,1,1,42975,42975,42975
155,61543797227,1789006410206265,1789006410208515,74076,0,1,1,42088,42088,42088
156,61543830536,1789006410238972,1789006410240722,74076,0,1,1,42089,42089,42089
157,61543863844,1789006410272327,1789006410273892,74076,0,1,1,42085,42085,42085
158,61543897153,1789006410306253,1789006410307838,74076,0,1,1,42278,42278,42278
159,61543930461,1789006410338950,1789006410342045,74076,0,1,1,42141,42141,42141
160,61543963770,1789006410372286,1789006410373714,74076,0,1,1,42143,42143,42143
161,61543997079,1789006410405907,1789006410407686,74076,0,1,1,42263,42263,42263
162,61544030387,1789006410439575,1789006410440641,74076,0,1,1,42807,42807,42807
163,61544063696,1789006410472207,1789006410473923,74076,0,1,1,42190,42190,42190
164,61544097004,1789006410505407,1789006410507132,74076,0,1,1,42326,42326,42326
165,61544130313,1789006410539313,1789006410540833,74076,0,1,1,42252,42252,42252
166,61544163622,1789006410572144,1789006410573515,74076,0,1,1,42971,42971,42971
167,61544196930,1789006410605893,1789006410607578,74076,0,1,1,43049,43049,43049
168,61544230239,1789006410639280,1789006410640721,74076,0,1,1,42271,42271,42271
169,61544263547,1789006410672074,1789006410673401,74076,0,1,1,42434,42434,42434
170,61544296856,1789006410705353,1789006410706890,74076,0,1,1,42312,42312,42312
171,61544330165,1789006410739035,1789006410740196,74076,0,1,1,42322,42322,42322
172,61544363473,1789006410771975,1789006410773318,74076,0,1,1,42301,42301,42301
173,61544396782,1789006410805324,1789006410806600,74076,0,1,1,42845,42845,42845
174,61544430090,1789006410839123,1789006410841357,74076,0,1,1,42434,42434,42434
175,61544463399,1789006410874047,1789006410875037,74076,0,1,1,42136,42136,42136
176,61544496708,1789006410905191,1789006410906550,74076,0,1,1,42995,42995,42995
177,61544530016,1789006410938548,1789006410940716,74076,0,1,1,42221,42221,42221
178,61544563325,1789006410971844,1789006410973274,74076,0,1,1,42828,42828,42828
179,61544596633,1789006411005227,1789006411006673,74076,0,1,1,42307,42307,42307
180,61544629942,1789006411038851,1789006411040547,74076,0,1,1,43263,43263,43263
181,61544663251,1789006411071752,1789006411073126,74076,0,1,1,42257,42257,42257
182,61544696559,1789006411105004,1789006411106537,74076,0,1,1,42314,42314,42314
183,61544729868,1789006411138916,1789006411140515,74076,0,1,1,42011,42011,42011
184,61544763176,1789006411171618,1789006411173279,74076,0,1,1,43099,43099,43099
